Items_RU = {
	/* Created by PZTranslationAssistant */
	DisplayName_Vinyl_Brenda_Lee___Rockin_Around_The_Christmas_Tree_(1958) = "Винил Brenda Lee - Rockin Around The Christmas Tree (1958)",
	DisplayName_Vinyl_Dean_Martin___Walking_In_A_Winter_Wonderland_(1959) = "Винил Dean Martin - Walking In A Winter Wonderland (1959)",
	DisplayName_Vinyl_Eartha_Kitt___Santa_Baby_(1953) = "Винил Eartha Kitt - Santa Baby (1953)",
	DisplayName_Vinyl_Elvis_Presley___Blue_Christmas_(1957) = "Винил Elvis Presley - Blue Christmas (1957)",
	DisplayName_Vinyl_Elvis_Presley___Jailhouse_Rock_(1958) = "Винил Elvis Presley - Jailhouse Rock (1958)",
	DisplayName_Vinyl_Enrico_Caruso___Una_Furtiva_Lagrima_(1904) = "Винил Enrico Caruso - Una Furtiva Lagrima (1904)",
	DisplayName_Vinyl_Gene_Autry___Frosty_The_Snow_Man_(1951) = "Винил Gene Autry - Frosty The Snow Man (1951)",
	DisplayName_Vinyl_Guy_Mitchell___Heartache_By_The_Numbers_50s_(1959) = "Винил Guy Mitchell - Heartache By The Numbers50s (1959)",
	DisplayName_Vinyl_Hank_Williams___Lovesick_Blues_(1949) = "Винил Hank Williams - Lovesick Blues (1949)",
	DisplayName_Vinyl_John_Fahey___Steel_Guitar_Rag_(1965) = "Винил John Fahey - Steel Guitar Rag (1965)",
	DisplayName_Vinyl_Johnny_Horton___North_To_Alaska_(1965) = "Винил Johnny Horton - North To Alaska (1965)",
	DisplayName_Vinyl_Judy_Garland___Have_Yourself_A_Merry_Little_Christmas_(1944) = "Винил Judy Garland - Have Yourself A Merry Little Christmas (1944)",
	DisplayName_Vinyl_Kirsten_Flagstad___Die_Walkure_(1938) = "Винил Kirsten Flagstad - Die Walkure (1938)",
	DisplayName_Vinyl_Lightnin_Hopkins___Jackstropper_Blues_(1950) = "Винил Lightnin Hopkins - Jackstropper Blues (1950)",
	DisplayName_Vinyl_Mel_Carter___Hold_Me_Thrill_Me_Kiss_Me_(1965) = "Винил Mel Carter - Hold Me Thrill Me Kiss Me (1965)",
	DisplayName_Vinyl_Nat_King_Cole___The_Christmas_Song_(1961) = "Винил Nat King Cole - The Christmas Song (1961)",
	DisplayName_Vinyl_Ricky_Nelson___Travellin_Man_(1961) = "Винил Ricky Nelson - Travellin Man (1961)",
	DisplayName_Vinyl_Righteous_Brothers___Unchained_Melody_(1965) = "Винил Righteous Brothers - Unchained Melody (1965)",
	DisplayName_Vinyl_Robert_Johnson___Walking_Blues_(1936) = "Винил Robert Johnson - Walking Blues (1936)",
	DisplayName_Vinyl_Thurl_Ravenscroft___Youre_A_Mean_One_Mr_Grinch_(1966) = "Винил Thurl Ravenscroft - Youre A Mean One Mr Grinch (1966)",

}
